product_id,product_name,category,brand,total_units_sold,number_of_orders,sales_revenue,revenue_share_pct,average_selling_price,avg_quantity_per_order,unit_cost,unit_price,margin_percentage,total_current_stock,stock_to_sales_ratio,inventory_turnover,days_inventory_outstanding,stock_movement_class,stock_health_score,stock_health_class,cumulative_revenue_pct,abc_class,priority_score,priority_class
P014,Transmission Assembly TA-800,Transmission,Volvo,40574,3462,3387929000,14.75643910834268,83500.0,11.719815135759676,68500,83500,21.8,661663,16.307561492581456,0.1224531678653238,2980.731379701286,Dead Stock,30,At Risk,35.91148793098146,A,9,Critical
P023,Idler Wheel IW-55,Undercarriage,Volvo,40276,3402,521574200,2.2717648223391183,12950.0,11.838918283362728,9200,12950,40.8,661520,16.424669778528155,0.1216005893443996,3001.6301891945577,Dead Stock,30,At Risk,86.43318421817699,B,8,Critical
P018,Wheel Rim WR-24,Undercarriage,CAT,40752,3466,460497600,2.005740024049484,11300.0,11.757645701096363,8200,11300,37.8,650455,15.96130251276011,0.1250429574353183,2918.9968590498625,Dead Stock,30,At Risk,90.48013621391664,B,8,Critical
P024,Track Roller TR-60,Undercarriage,Tata Hitachi,39486,3401,406705800,1.7714448480796958,10300.0,11.610114672155248,7400,10300,39.2,656188,16.61824444106772,0.1201257660732783,3038.482183558729,Dead Stock,30,At Risk,94.10729879039792,B,8,Critical
P005,Fuel Injector FI-220,Engine,Tata Hitachi,40480,3454,342056000,1.4898566456508575,8450.0,11.719745222929935,6350,8450,33.0,658820,16.275197628458496,0.1226675959666361,2975.520936264822,Dead Stock,30,At Risk,95.59715543604878,C,7,High
P009,Starter Motor SM-700,Electrical,Volvo,40547,3412,604150300,2.631432687708911,14900.0,11.883645955451348,11450,14900,30.1,631941,15.585394727106817,0.1280966213793441,2849.4116087503394,Slow-Moving,80,Watch,84.16141939583788,B,6,High
P015,Engine Block EB-600,Engine,Komatsu,40815,3411,4856985000,21.15504882263878,119000.0,11.965699208443272,95500,119000,24.6,632583,15.498787210584345,0.1288138802755225,2833.545571481073,Normal,100,Healthy,21.15504882263878,A,5,Medium
P021,Boom Cylinder BC-400,Hydraulic,Komatsu,41864,3481,1934116800,8.424225179341892,46200.0,12.026429187015223,35600,46200,29.8,630617,15.063467418306898,0.1325139314671524,2754.4273719663674,Normal,100,Healthy,44.33571311032335,A,5,Medium
P019,Swing Motor SWM-350,Hydraulic,Volvo,41543,3476,1653411400,7.201586764403747,39800.0,11.951380897583428,31200,39800,27.6,622249,14.978431986134847,0.1333012457985384,2738.1589557807574,Normal,100,Healthy,51.5372998747271,A,5,Medium
P004,Track Chain TC-45,Undercarriage,Volvo,40891,3392,1627461800,7.088560873871256,39800.0,12.055129716981131,32500,39800,22.5,638882,15.624024846543248,0.1277889674160165,2856.271612335233,Normal,100,Healthy,58.62586074859836,A,5,Medium
